Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-09-17 00:00:00-03:00,135118.0,135118.0,134180.0,134960.0,7314500,0.0,0.0
2024-09-16 00:00:00-03:00,134885.0,135715.0,134870.0,135118.0,6707000,0.0,0.0
2024-09-13 00:00:00-03:00,134031.0,135879.0,134031.0,134882.0,8866000,0.0,0.0
2024-09-12 00:00:00-03:00,134677.0,134777.0,133591.0,134029.0,7004900,0.0,0.0
2024-09-11 00:00:00-03:00,134319.0,135087.0,133757.0,134677.0,7947300,0.0,0.0
2024-09-10 00:00:00-03:00,134738.0,134738.0,133754.0,134320.0,8253500,0.0,0.0
2024-09-09 00:00:00-03:00,134574.0,135250.0,134399.0,134737.0,6587600,0.0,0.0
2024-09-06 00:00:00-03:00,136508.0,136653.0,134476.0,134572.0,7563300,0.0,0.0
2024-09-05 00:00:00-03:00,136112.0,136656.0,135959.0,136502.0,7528700,0.0,0.0
2024-09-04 00:00:00-03:00,134359.0,136838.0,134359.0,136111.0,9419500,0.0,0.0
2024-09-03 00:00:00-03:00,134907.0,135011.0,134171.0,134353.0,8802400,0.0,0.0
2024-09-02 00:00:00-03:00,136004.0,136004.0,134497.0,134981.0,3666100,0.0,0.0
2024-08-30 00:00:00-03:00,136041.0,136139.0,134910.0,136004.0,18397900,0.0,0.0
2024-08-29 00:00:00-03:00,137349.0,137370.0,135858.0,136041.0,8385100,0.0,0.0
2024-08-28 00:00:00-03:00,136776.0,137469.0,135746.0,137344.0,7457100,0.0,0.0
2024-08-27 00:00:00-03:00,136888.0,137213.0,136664.0,136776.0,6745900,0.0,0.0
2024-08-26 00:00:00-03:00,135608.0,137013.0,135596.0,136889.0,7560000,0.0,0.0
2024-08-23 00:00:00-03:00,135174.0,136478.0,135174.0,135608.0,8649400,0.0,0.0
2024-08-22 00:00:00-03:00,136462.0,136462.0,134836.0,135173.0,8050200,0.0,0.0
2024-08-21 00:00:00-03:00,136088.0,137040.0,136086.0,136464.0,9572200,0.0,0.0
2024-08-20 00:00:00-03:00,135779.0,136330.0,135312.0,136087.0,8106800,0.0,0.0
2024-08-19 00:00:00-03:00,133953.0,136179.0,133953.0,135778.0,11281500,0.0,0.0
2024-08-16 00:00:00-03:00,134154.0,134781.0,133852.0,133953.0,10871900,0.0,0.0
2024-08-15 00:00:00-03:00,133319.0,134575.0,133319.0,134153.0,10534800,0.0,0.0
2024-08-14 00:00:00-03:00,132398.0,133777.0,132112.0,133318.0,12158400,0.0,0.0
2024-08-13 00:00:00-03:00,131115.0,132430.0,131115.0,132398.0,9798900,0.0,0.0
2024-08-12 00:00:00-03:00,130615.0,131662.0,130615.0,131116.0,8601600,0.0,0.0
2024-08-09 00:00:00-03:00,128662.0,130631.0,128662.0,130615.0,11324800,0.0,0.0
2024-08-08 00:00:00-03:00,127515.0,128793.0,127515.0,128661.0,8624000,0.0,0.0
2024-08-07 00:00:00-03:00,126268.0,127517.0,126268.0,127514.0,8837900,0.0,0.0
2024-08-06 00:00:00-03:00,125270.0,126966.0,125261.0,126267.0,10052600,0.0,0.0
2024-08-05 00:00:00-03:00,125851.0,125851.0,123073.0,125270.0,10886100,0.0,0.0
2024-08-02 00:00:00-03:00,127395.0,128104.0,125731.0,125854.0,9950900,0.0,0.0
2024-08-01 00:00:00-03:00,127652.0,128762.0,127150.0,127395.0,9814200,0.0,0.0
2024-07-31 00:00:00-03:00,126139.0,127853.0,126139.0,127652.0,9471900,0.0,0.0
2024-07-30 00:00:00-03:00,126951.0,126951.0,125973.0,126139.0,6848600,0.0,0.0
2024-07-29 00:00:00-03:00,127492.0,127657.0,126606.0,126954.0,7075400,0.0,0.0
2024-07-26 00:00:00-03:00,125964.0,127700.0,125953.0,127492.0,8272000,0.0,0.0
2024-07-25 00:00:00-03:00,126423.0,126423.0,125626.0,125954.0,7134100,0.0,0.0
2024-07-24 00:00:00-03:00,126596.0,126823.0,126218.0,126423.0,7304800,0.0,0.0
2024-07-23 00:00:00-03:00,127860.0,127860.0,126530.0,126590.0,7022900,0.0,0.0
2024-07-22 00:00:00-03:00,127616.0,128151.0,127456.0,127860.0,6098200,0.0,0.0
2024-07-19 00:00:00-03:00,127652.0,128360.0,127413.0,127616.0,7620400,0.0,0.0
2024-07-18 00:00:00-03:00,129450.0,129454.0,127523.0,127652.0,7591500,0.0,0.0
2024-07-17 00:00:00-03:00,129112.0,129658.0,128741.0,129450.0,6672400,0.0,0.0
2024-07-16 00:00:00-03:00,129322.0,129521.0,128761.0,129110.0,6818900,0.0,0.0
2024-07-15 00:00:00-03:00,128898.0,129485.0,128723.0,129321.0,5826900,0.0,0.0
2024-07-12 00:00:00-03:00,128293.0,129015.0,128002.0,128897.0,7206600,0.0,0.0
2024-07-11 00:00:00-03:00,127221.0,128326.0,127221.0,128294.0,7972900,0.0,0.0
2024-07-10 00:00:00-03:00,127109.0,127769.0,126928.0,127218.0,8152600,0.0,0.0
2024-07-09 00:00:00-03:00,126548.0,127295.0,125937.0,127108.0,6684600,0.0,0.0
2024-07-08 00:00:00-03:00,126280.0,126551.0,125614.0,126548.0,7430300,0.0,0.0
2024-07-05 00:00:00-03:00,126165.0,126662.0,125556.0,126267.0,8085600,0.0,0.0
2024-07-04 00:00:00-03:00,125666.0,126660.0,125666.0,126164.0,6535700,0.0,0.0
2024-07-03 00:00:00-03:00,124787.0,126581.0,124787.0,125662.0,8534200,0.0,0.0
2024-07-02 00:00:00-03:00,124720.0,125491.0,124310.0,124787.0,8368000,0.0,0.0
2024-07-01 00:00:00-03:00,123905.0,125220.0,123735.0,124718.0,0,0.0,0.0
